pool_hash,pool_id,operator_group,source,source_detail
7968d7e067205f0cff731c174bcf893cb1fd33f637c6a96ac0a9b408,pool1095d0cr8yp0selmnrst5hnuf8jcl6vlkxlr2j6kq4x6qs4yxuwt,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
7d45120fc9e82f8b69d886057d80630b721e8f033cb8e3f26621d7bd,pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=COINBASE; adastat_group=None
81e35f1248da51c4bc93968b9e3bc3f51dee41a34df38b070390eca2,pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
8244c76006f79362261bb84975daeaca6810e45f50163ffa41cf814e,pool1sfzvwcqx77fkyfsmhpyhtkh2ef5ppezl2qtrl7jpe7q5up96ux9,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=None; adastat_group=n
837a3cf8c96e97bed8e8be6deb390144b46171e3c843b75575d0f788,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=UTA; balanceanalytics_group=COINBASE; adastat_group=None
8c289ee3b1b591a95c18ffce66957d1f07115afdf939c2a9b441fc22,pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=TZD; balanceanalytics_group=COINBASE; adastat_group=None
92bda83eb105d569b23cb6fa1d407dd42de0d2d7e6562718b7ac5c02,pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=UBE; balanceanalytics_group=COINBASE; adastat_group=None
968c91930b19b75e87ee8b2635a130601a38d326cccc08669611b69e,pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=N/A; balanceanalytics_group=COINBASE; adastat_group=n
9ca4378a7ee308d910efd7a611a1df2181314c25723ff4cfa855664c,pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=FMD; balanceanalytics_group=COINBASE; adastat_group=None
a5b36528fbbb2709e1b29fbdc3816399ef2bd1c916efa416aa325f1a,pool15kek228mhvnsncdjn77u8qtrn8hjh5wfzmh6g942xf0353yc77j,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=TIA; balanceanalytics_group=COINBASE; adastat_group=None
a79f362a5947f002a9087837627e8d720aadcab1f5655c7b3d41abeb,pool1570nv2jeglcq92gg0qmkyl5dwg92mj4374j4c7eagx47kdm0r4l,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=None; balanceanalytics_group=COINBASE; adastat_group=None
a9807616077f17a66dc12c562bfc8dbc1a0b9ad1c96591fd56ffafb5,pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,COINBASE,pool_groups_current_HEAD,pool_clusters.json group; ticker=ARH; balanceanalytics_group=COINBASE; adastat_group=None
